,good,bad
1569,"""I think as you do,"" answered the Marionette,laughing.  ""Still, you must know that when the fish finishedeating my donkey coat, which covered me from head tofoot, they naturally came to the bones--or rather, in mycase, to the wood, for as you know, I am made of veryhard wood.  After the first few bites, those greedy fishfound out that the wood was not good for their teeth, and,afraid of indigestion, they turned and ran here and therewithout saying good-by or even as much as thank you tome.  Here, dear Master, you have my story.  You knownow why you found a Marionette and not a dead donkeywhen you pulled me out of the water.""","""I think as you do,"" answered the Marionette,laughing.  ""Still, you must know that when the fish finishedeating my donkey coat, which covered me from head tofoot, they naturally came to the bones--or rather, in mycase, to the wood, for as you know, I am made of veryhard wood.  After the first few bites, those greedy fishfound out that the wood was not good for their teeth, and,afraid of indigestion, they turned and ran here and therewithout saying good-by or even as much as thank you tome.  Here, dear Master, you have my story.  You knownow why you found a Marionette and not a dead donkeywhen you pulled me out of th"
1570,"""I laugh at your story!"" cried the man angrily.  ""I knowthat I spent four cents to get you and I want my money back.Do you know what I can do; I am going to take you to the marketonce more and sell you as dry firewood.""","""I laugh at your story!"" cried the man angrily.  ""I knowthat I spent four cents to get you and I want my money back.Do you know what I can do; I am "
1571,"""Very well, sell me.  I am satisfied,"" said Pinocchio.But as he spoke, he gave a quick leap and dived into thesea.  Swimming away as fast as he could, he cried out, laughing:","""Very well, sell me.  I am satisfied"
1572,"""Good-by, Master.  If you ever need a skin for your drum, remember me.""","""Good-by, Master.  If you ever need a skin for your dru"
1573,"He swam on and on.  After a while, he turned around againand called louder than before:",He swam on
1574,"""Good-by, Master.  If you ever need a piece of good dry firewood, remember me.""","""Good-by, Master.  If you ever need a pi"
1575,"In a few seconds he had gone so far he could hardly be seen.All that could be seen of him was a very small black dot movingswiftly on the blue surface of the water, a little black dotwhich now and then lifted a leg or an arm in the air.One would have thought that Pinocchio had turned intoa porpoise playing in the sun.",In a few seconds he had gone so far he c
1576,"After swimming for a long time, Pinocchio saw a largerock in the middle of the sea, a rock as white as marble.High on the rock stood a little Goat bleating and callingand beckoning to the Marionette to come to her.",After swimming f
1577,"There was something very strange about that littleGoat.  Her coat was not white or black or brown as thatof any other goat, but azure, a deep brilliant color thatreminded one of the hair of the lovely maiden.",There was something very strange about that littleGoat.  Her coat was not white or
1578,"Pinocchio's heart beat fast, and then faster and faster.He redoubled his efforts and swam as hard as he couldtoward the white rock.  He was almost halfway over,when suddenly a horrible sea monster stuck its head outof the water, an enormous head with a huge mouth, wideopen, showing three rows of gleaming teeth, the meresight of which would have filled you with fear.","Pinocchio's heart beat fast, an"
1579,Do you know what it was?,Do you k
1580,"That sea monster was no other than the enormous Shark,which has often been mentioned in this story and which,on account of its cruelty, had been nicknamed""The Attila of the Sea"" by both fish and fishermen.",That sea
1581,"Poor Pinocchio!  The sight of that monster frightenedhim almost to death!  He tried to swim away from him,to change his path, to escape, but that immense mouthkept coming nearer and nearer.",Poor Pinocchio!  The sight of that monster frightenedhim almost to death!  He tried to 
1582,"""Hasten, Pinocchio, I beg you!"" bleated the little Goat on the high rock.","""Hasten, Pino"
1583,"And Pinocchio swam desperately with his arms, his body, his legs, his feet.",And Pinocchio swam desperately 
1584,"""Quick, Pinocchio, the monster is coming nearer!""","""Quick, "
1585,"Pinocchio swam faster and faster, and harder and harder.","Pinocchio swam faster and faster, "
1586,"""Faster, Pinocchio!  The monster will get you!  There he is!There he is!  Quick, quick, or you are lost!""","""Faster, Pinocchio!  The monster will "
1587,Pinocchio went through the water like a shot--swifter and swifter.He came close to the rock.  The Goat leaned over and gave him oneof her hoofs to help him up out of the water.,Pinocchio went through the water like a shot--
1588,"Alas!  It was too late.  The monster overtook him andthe Marionette found himself in between the rows ofgleaming white teeth.  Only for a moment, however,for the Shark took a deep breath and, as he breathed,he drank in the Marionette as easily as he would havesucked an egg.  Then he swallowed him so fast that Pinocchio,falling down into the body of the fish, lay stunned for a half hour.",Alas!  It was too late.  The monster overtook him andthe Marionette found himself in between the rows ofgleaming 
1589,"When he recovered his senses the Marionette could notremember where he was.  Around him all was darkness,a darkness so deep and so black that for a moment hethought he had put his head into an inkwell.  He listenedfor a few moments and heard nothing.  Once in a while acold wind blew on his face.  At first he could not understandwhere that wind was coming from, but after a whilehe understood that it came from the lungs of the monster.I forgot to tell you that the Shark was suffering from asthma,so that whenever he breathed a storm seemed to blow.","When he recovered his senses the Marionette could notremember where he was.  Around him all was darkness,a darkness so deep and so black that for a moment hethought he had put his head into an inkwell.  He listenedfor a few moments and heard nothing.  Once in a while acold wind blew on his face.  At first he could not understandwhere that wind was coming from, but after a whilehe understood that it came from the lungs of "
1590,"Pinocchio at first tried to be brave, but as soon as hebecame convinced that he was really and truly in theShark's stomach, he burst into sobs and tears.  ""Help!Help!"" he cried.  ""Oh, poor me!  Won't someone cometo save me?""","Pinocchio at first tried to be brave, but as soon as hebecame convinced that he was really and truly in theShark's stomach, he burst into sobs and tears.  """
1591,"""Who is there to help you, unhappy boy?"" said a roughvoice, like a guitar out of tune.","""Who is there to help you, unhappy boy?"" said a roughvoice, like a guitar out"
1592,"""Who is talking?"" asked Pinocchio, frozen with terror.","""Who is talking?"" asked Pinocchio, frozen with te"
1593,"""It is I, a poor Tunny swallowed by the Shark at thesame time as you.  And what kind of a fish are you?""","""It is I, a poor Tunny swallow"
1594,"""I have nothing to do with fishes.  I am a Marionette.""","""I have nothing to do with fish"
1595,"""If you are not a fish, why did you let this monster swallow you?""","""If you are not "
1596,"""I didn't let him.  He chased me and swallowed mewithout even a `by your leave'!  And now what are weto do here in the dark?""","""I didn't let him.  He chased me and swal"
1597,"""Wait until the Shark has digested us both, I suppose.""","""Wait until "
1598,"""But I don't want to be digested,"" shouted Pinocchio,starting to sob.","""But I don't want to be digested,"" shoute"
1599,"""Neither do I,"" said the Tunny, ""but I am wise enoughto think that if one is born a fish, it is more dignified to dieunder the water than in the frying pan.""","""Neither do I,"" said the Tunny, ""but I am wise enoughto think tha"
1600,"""What nonsense!"" cried Pinocchio.","""What "
1601,"""Mine is an opinion,"" replied the Tunny, ""and opinionsshould be respected.""","""Mine is an opinion,"" replied the Tunny, """
1602,"""But I want to get out of this place.  I want to escape.""","""But I want to ge"
